,loan_id,gender,marital_status,dependents,qualification,is_self_employed,applicant_income,co_applicant_income,loan_amount,loan_amount_term,credit_history,property_area
87,88,M,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban
88,89,M,No,0,Graduate,No,8566,0,210,360,1,Urban
89,90,M,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban
90,91,M,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban
91,92,M,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban
92,93,M,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban
93,94,M,No,0,Graduate,No,4133,0,122,360,1,Semiurban
94,95,M,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban
95,96,M,No,0,Graduate,,6782,0,134.2210526,360,0.836956522,Urban
96,97,F,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban
97,98,M,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban
98,99,M,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban
99,100,M,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban
